Name,SecondaryName,Year,Single,Url,GroupID,Origin,USRegion,RegionID,Decade
Deadly Venoms,"N-Tyce, J-Boo, Champ MC and Finesse",1997,"""Venoms Everywhere""",https://www.youtube.com/watch?v=gDivufGgE_o,3,"New York, NY",East Coast,31,1990
Hurricane G,Def Squad,1997,"""Somebody Else""",https://www.youtube.com/watch?v=njlKqY6Zdl4,4,"Brooklyn, NY",East Coast,32,1990
Imani Coppola,,1997,"""Legend of a Cowgirl""",https://www.youtube.com/watch?v=n26hAOmkmFE,5,"Long Island, NY",East Coast,33,1990
Eve,,1998,"""Eve of Destruction""",https://www.youtube.com/watch?v=N_g0lxtw_hc,1,"Philadelphia, PA",East Coast,34,1990
Charli Baltimore,,1998,"""Money""",https://www.youtube.com/watch?v=d11-U-gaw9M,2,"Philadelphia, PA",East Coast,35,1990
Amil,,1998,"""Can I Get A ..."" with Jay-Z",https://www.youtube.com/watch?v=MUN9giYJhew,3,"New York, NY",East Coast,36,1990
Free,,1998,"""Patriots"" by Canibus",https://www.youtube.com/watch?v=68lKj8W-4Ro,4,"Boston, MA",East Coast,37,1990
Jamie Sommers,,1998,"""Bobby Did It (Spanish Fly)"" by Bobby Digital / RZA
",https://www.youtube.com/watch?v=H42DcWVhhcU,5,"New York, NY",East Coast,38,1990
Eekwol,,1998,,,6,"Saskatchewan, Canada",Outside US,6,1990
Trina,,1998,"""Nann N****"" (Trick Daddy)",https://www.youtube.com/watch?v=Es0P1Xpb6Gc,7,"Miami, FL",South,12,1990
Mocha,,1998,"""Hit 'Em Wit Da Hee (Remix)""",https://www.youtube.com/watch?v=vklBeJNh5Eg,8,"Richmond, VA",South,13,1990
Sylk-E. Fyne,,1998,"""Romeo & Juliet""",https://www.youtube.com/watch?v=8t86Gsq1wWM,9,"Los Angeles, CA",West Coast,14,1990
Rah Digga,,1999,"""Imperial""",https://www.youtube.com/watch?v=0KdV6t78lHE,1,"Newark, NJ",East Coast,39,1990
Natina Reed,Blaque,1999,"""808""",https://www.youtube.com/watch?v=AmEO4Qp2mFw,2,"New York, NY",East Coast,40,1990
Rha Goddess,,1999,"""My Pen""",https://www.youtube.com/watch?v=PXgF08St3f4,3,"New York, NY
",East Coast,41,1990
Lady Luck,,1999,Symphony 2000 with EPMD,https://www.youtube.com/watch?v=xp09snLms5E,4,"Englewood, NJ",East Coast,42,1990
Cha Cha,,1999,"""New Millennium (What Cha Wanna Do)""",https://www.youtube.com/watch?v=mXgGWAp0KBo,5,"Detroit, MI",Mid West,7,1990
Infamous Sydnicate,Shawna,1999,"""Here I Go""",https://www.youtube.com/watch?v=qhDwULY_a9U,6,"Chicago, IL",Mid West,8,1990
Solè,,1999,"""Who Dat"" by J.T. Money",https://www.youtube.com/watch?v=5X0uSltBHhs,7,"Kansas, Missouri",Mid West,9,1990
Katey Red,,1999,"""Where da melph at""",https://www.youtube.com/watch?v=o8ZeYslcGNg,8,"New Orleans, LA",South,14,1990
Remy Ma,Mae West / May Day,2000,"""Ms. Martin"" on 'Yeeeah Baby' by Big Pun",https://www.youtube.com/watch?v=LYWHClvN_hE,1,"Bronx, NY",East Coast,43,2000
Lady May,,2000,"""Shysty Broads"" by The Madd Rapper",https://www.youtube.com/watch?v=Jg6AlwqdqOw,2,"Long Island, NY",East Coast,44,2000
Kiely Williams,3LW,2000,"""No More""",https://www.youtube.com/watch?v=drvS9w-lTMc,3,"Alexandria, VA",South,15,2000
Sarai,,2001,"""Same Ol' Same Ol'"" by PYT",https://www.youtube.com/watch?v=h1JfMvIgVog,1,"Kingston, NY",East Coast,45,2000
Rasheeda,,2001,"""Do It""",https://www.youtube.com/watch?v=YYwMrbeEx_k,2,"Atlanta, GA",South,16,2000
Khia,,2002,"""My Neck, My Back""",https://www.youtube.com/watch?v=rDJu7r6OUvk,1,"Philadephia, PA",East Coast,46,2000
Ms. Jade,,2002,"""Big Head""",https://www.youtube.com/watch?v=Nb4m6H90OzM,2,"Philadelphia, PA",East Coast,47,2000
Ms Dynamite,,2002,"""It Takes More""",https://www.youtube.com/watch?v=GSQHfChUqZY,3,"United Kingdom
",Outside US,7,2000
Lil Brianna,,2002,"""Kandi"" by Trina",https://www.youtube.com/watch?v=F7tWcHgqttw,4,"Miami, FL",South,17,2000
Psalm One,,2002,"""Spitting Vintage""",https://www.youtube.com/watch?v=Wu3irWgWN4Q,5,"Chicago, IL",South,18,2000
M.I.A.,,2003,"""Galang""",https://www.youtube.com/watch?v=yRvWQrGurkQ,1,"United Kingdom
",Outside US,8,2000
K-Mil,,2003,"""Quien Tiene Mas Flow""",https://www.youtube.com/watch?v=evWnvYSUf4Y,2,"San Juan, PR",Puerto Rico,2,2000
Jackie-O,,2003,"""Nookie""",https://www.youtube.com/watch?v=7lntMnFln88,3,"Ft. Lauderdale, FL",South,19,2000
K-Swift,,2004,"""Slide to the Left""",https://www.youtube.com/watch?v=BWpbV-DrI_0,1,"Baltimore, MD
",East Coast,48,2000
K.Flay,,2004,"""Suburban Rap Queen""",https://www.youtube.com/watch?v=c9qaJhj5ZdM,2,"Wilmette, Illinois",Mid West,10,2000
Estelle,,2004,"""Dance Bitch""",https://www.youtube.com/watch?v=e5Oea39zDRI,3,"United Kingdom
",Outside US,9,2000
Diamond,Crime Mob,2004,"""Knuck If You Buck""",https://www.youtube.com/watch?v=TC1oURSaYoQ,4,"Atlanta, GA",South,20,2000
Princess,Crime Mob,2004,"""Knuck If You Buck""",https://www.youtube.com/watch?v=TC1oURSaYoQ,5,"Atlanta, GA",South,21,2000
Amanda Blank,,2005,"""Bump"" by Spank Rock",https://www.youtube.com/watch?v=4gdGJBYoaIY,1,"Philadelphia, PA",East Coast,49,2000
Heather Hunter,,2005,"""So Serious""",https://www.youtube.com/watch?v=o_lqKWDRLDI,2,"Bronx, NY",East Coast,50,2000
Dessa / Doomtree,,2005,"""No D in Erogenous"" by Kanser",https://www.youtube.com/watch?v=ULmpNC8Bc-M,3,Minnesota,Mid West,11,2000
Lady Sovereign,,2005,"""The Battle""",https://www.youtube.com/watch?v=IiBMzoXsHcc,4,"United Kingdom
",Outside US,10,2000
Audra The Rapper,,2005,"""I Love College"" 2009",https://www.youtube.com/watch?v=4KKt1g7kcpU,5,"Richmond, VA",South,22,2000
Kanary Diamonds,,2005,"""By the Bar"" by Mack 10",https://www.youtube.com/watch?v=aZdq2Ld_ngs,6,"Los Angeles, CA",West Coast,15,2000
Rye Rye,,2006,"""Shake It To The Ground"" with DJ Blaqstarr",https://www.youtube.com/watch?v=fHAigWTZioI,1,"Baltimore, MD
",East Coast,51,2000
Young B,,2006,"""Chicken Noodle Soup""",https://www.youtube.com/watch?v=sFav9P54JUA,2,"Harlem, NY",East Coast,52,2000
Lega-C,,2006,"""White Girl Raps Fast"" 2011",https://www.youtube.com/watch?v=5MS7g-ki7iw,3,Oklahoma,Mid West,12,2000
Tiffany Foxx,,2006,"""Shake That"" by Snoop Dogg",https://www.youtube.com/watch?v=PJ1qTQ9NsOw,4,"St. Louis, MO",Mid West,13,2000
Yo Majesty,Shunda K,2006,"""Club Action"" 2007",https://www.youtube.com/watch?v=2pfQT7etnKg,5,"Tampa, FL",South,23,2000
Ak'Sent,,2006,"""Zingy"" featuring Beenie Man",https://www.youtube.com/watch?v=InP8cCMRURY,6,"Los Angeles, CA",West Coast,16,2000
Georgia Anne Muldrow,,2006,"""Patience""",https://www.youtube.com/watch?v=X0Wpg6jEQJE,7,"Los Angeles, CA",West Coast,17,2000
Kellee Maize,,2007,"""Age of Feminine""",https://www.youtube.com/watch?v=kjJfIMgsYn4,1,"Pittsburg, PA",East Coast,53,2000
Lil Mama,,2007,"""Girlfriend"" (Avril Lavigne, remix)",https://www.youtube.com/watch?v=EnwLrQ2ys_g,2,"Harlem, NY",East Coast,54,2000
Nicki Minaj,,2007,"""Jump Off 2007""",https://www.youtube.com/watch?v=cGMszqpAf9o,3,"Queens, NY",East Coast,55,2000
Felicia Pearson,,2007,"""It's A Stick Up"" by Tony Yayo",https://www.youtube.com/watch?v=NUTamtcVEYk,4,"Baltimore, MD
",East Coast,56,2000
Sirah,,2007,"""Clean Windows Dirty Floors""",https://www.youtube.com/watch?v=T8g48nHZ3Pw,5,"Long Island, NY",East Coast,57,2000
Feloni,,2007,"""A Woman's Revenge"" ",https://www.youtube.com/watch?v=WvN4d-Y7VwY,6,"Detroit, MI ",Mid West,14,2000
Kid Sister,,2007,"""Pro Nails""",https://www.youtube.com/watch?v=WvN4d-Y7VwY,7,"Chicago, IL",Mid West,15,2000
3D Na'Tee,,2007,"""3rd Times a Charm"" 2008",https://www.youtube.com/watch?v=j23Bx2q6TMM,8,"New Orleans, LA",South,24,2000
Mélange Lavonne,,2007,"""Gay Bash""",https://www.youtube.com/watch?v=FdjSRu8na3o,9,"Rialto, CA",West Coast,18,2000
Prima J,,2007,"""Rockstar""",https://www.youtube.com/watch?v=ibb15n_QNwE,10,"Los Angeles, LA",West Coast,19,2000
P-Star,,2008,"""Biggie Bounce""",https://www.youtube.com/watch?v=5Wvx5rox_Ms,1,"Bronx, NY",East Coast,58,2000
Azealia Banks,,2008,Miss Bank$ the EP,https://www.youtube.com/watch?v=fEH6hgeH3F0,2,"Harlem, NY",East Coast,59,2000
Invincible,,2008,"""Shapeshifters""",https://www.youtube.com/watch?v=PvvaKfAfChA,3,"Detroit, MI",Mid West,16,2000
Lola Monroe,,2009,"""Overtime"" featuring Trina",https://www.youtube.com/watch?v=k9KybNv4uqE,1,"Washington, DC",East Coast,60,2000
Angel Haze,,2009,New Moon' mixtape,https://www.youtube.com/watch?v=7RiBJbydyRM,2,"Detroit, MI",Mid West,17,2000
Reema Major,,2009,"""Gucci Bag""",https://www.youtube.com/watch?v=iOBQ3DpCuMk,3,Sudan,Outside US,11,2000
Dominique Young Unique,,2009,"""Hot Girl""",https://www.youtube.com/watch?v=SmUM7XB_nz0,4,"Tampa, FL",South,25,2000
Colette Carr,,2009,"""Back It Up""",https://www.youtube.com/watch?v=w81jPa1WG88,5,"Malibu, CA",West Coast,20,2000
Nitty Scott,,2010,"""Monster""",https://www.youtube.com/watch?v=ybDYBtes800,1,"Orlando, FL",South,26,2010
Rapsody,,2010,"""Return of the B Girl""",https://www.youtube.com/watch?v=gfrc4MELOHU,2,North Carolina,South,27,2010
Dai Burger,,2011,"""Titty Attack"" with Junglepussy",https://www.youtube.com/watch?v=GMq7csOQsX8,1,"Queens, NY",East Coast,61,2010
Sasha Go Hard,,2011,"""Trust me"" by Buck 20 Brick Boyz",https://www.youtube.com/watch?v=SMIfjaSoHXY,2,"Chicago, IL",Mid West,18,2010
Iggy Azalea,,2011,"""Hell of a Life""",https://www.youtube.com/watch?v=FeRHf-ovbqo,3,"Sydney, Australia",Outside US,12,2010
Kitty Pryde,,2011,"""Orion's Belt"" with Riff Raff 2012",https://www.youtube.com/watch?v=2NNbeS-_EEA,4,"Daytona Beach, FL",South,28,2010
Becky G,,2011,"""Otis""",https://www.youtube.com/watch?v=UCt0T_bTdv0,5,"Los Angeles, CA",West Coast,21,2010
Kreayshawn,,2011,"""Gucci Gucci""",https://www.youtube.com/watch?v=6WJFjXtHcy4,6,"Oakland, CA",West Coast,22,2010
Snow Tha Product,,2011,"""Drunk Love""",https://www.youtube.com/watch?v=KZxwHHmb_J0,7,"San Diego, CA",West Coast,23,2010
V-Nasty,,2011,"""Whip Appeal"" by Gucci Mane",https://www.youtube.com/watch?v=94mgy3hb_-k,8,"Oakland, CA",West Coast,24,2010
