Name,SecondaryName,Year,Single,Url,GroupID
Kid Sister,,2007,"""Pro Nails""",,9
Sirah,,2007,Clean Windows Dirty Floors' EP,,10
Invincible,,2008,"""Shapeshifters""",,1
P-Star,,2008,"""Biggie Bounce""",,2
Azealia Banks,,2008,"""Gimme a Chance"" as Miss Bank$",,3
Angel Haze,,2009,New Moon' mixtape,,1
Lola Monroe,,2009,"""Overtime""",,2
Reema Major,,2009,,,3
Colette Carr,,2009,"""Back It Up""",,4
Dominique Young Unique,,2009,"""Hot Girl""",,5
Nitty Scott,,2010,"""Monster""",,1
Rapsody,,2010,"""Return of the B Girl""",,2
Sasha Go Hard,,2011,"""Trust me"" by Buck 20 Brick Boyz",,1
Becky G,,2011,"""Otis""",,2
Dai Burger,,2011,"""Titty Attack"" with Junglepussy",,3
Iggy Azalea,,2011,"""P****""",,4
Kitty Pryde,,2011,,,5
Kreayshawn,,2011,"""Gucci Gucci""",,6
Snow Tha Product,,2011,"""Drunk Love""",,7
V-Nasty,,2011,"""Whip Appeal"" by Guccia Mane",,8
Lil Debbie,,2012,"""2 Cups""",,1
Njena Reddd Foxxx,,2012,"""Ima Read""",,2
Brooke Candy,,2012,"""Das Me""",,3
Katie Got Bandz,,2012,"""They Know How I'm Rockin""",,4
Gifted Gab,,2012,"""Orange Skyline",,5
Sharaya J,,2013,"""Banji""",,1
Junglepussy,,2013,"""Cream Team""",,2
Nyemiah Supreme,,2013,"""Rock & Roll""",,3
Awkwafina,,2013,"""Yellow Ranger""",,4
Kiyanne,,2014,"""No Bars""",,1
Amber,,2015,"""Shake That Brass""",,1
